Label	x	y	claim	perspective
0	0	0	School Day Should Be Extended	Not enough fundng...
0	0	0	Raise The School Leaving Age To 18	Not all skills are best learnt in a classroom environment.
0	0	0	Raise The School Leaving Age To 18	The classroom environment is not ideal for all lessons.
0	0	0	Raise The School Leaving Age To 18	Not everyone is good at studying
0	0	0	Raise The School Leaving Age To 18	We shouldn't force people to study if they aren't good at it and choose not to.
0	0	0	Raise The School Leaving Age To 18	not everyone is good academically
0	0	0	Raise The School Leaving Age To 18	some people are not good at studying
0	0	0	Make all museums free of charge	We should not expect the state to fund museums
1	0	0	Chess must be at the Olympics	Chess is currently not an Olympic sport, but it should be.
0	0	0	Chess must be at the Olympics	Chess cannot ensure fair play
1	0	0	The Catholic Church needs reform	It currently promotes loyalty to the institution not the laity
1	0	0	The Catholic Church needs reform	Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.
1	0	0	The Catholic Church needs reform	The Catholic Church wants loyalty to institution, not to the common man.
1	0	0	The Catholic Church needs reform	If priests were not forced to be celibate, the issue of child rate would not be as widespread.
0	0	0	Positive Discrimination Towards Women in Society Is Justified	Positive discrimination towards women should not be allowed
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It is Men, Not Women, who are Disadvantaged in our Society
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It does not address the underlying issues
0	0	0	 College education is worth it	Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. 
0	0	0	 College education is worth it	The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.
0	0	0	 College education is worth it	Many college graduates are employed in jobs that do not require college degrees.
0	0	0	 College education is worth it	Many people with college degrees find themselves working in positions in which their degrees are not a requirement. 
0	0	0	 College education is worth it	More and more college educated people are accepting jobs for which they do not need a college education. 
0	0	0	 College education is worth it	College degrees do not guarantee learning or job preparation.
0	0	0	 College education is worth it	Acquiring a degree does not guarantee you a job.
1	0	0	College football should replace the bowl championship series (BCS)	A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.
1	0	0	Pensions should be privatised	Government pension schemes are not a viable or sustainable option.
0	0	0	Pensions should be privatised	senior citizens should not and cannot be exposed to such naked risk on moral grounds
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports cannot be justified by reference to their role in pest control or conservation
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports are not justified by their role in pest control or conservation.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	The need for pest control or conservation does not justify blood sports. 
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Pest control or conservation arguments does not rationalize our use of animals as objects in blood sports.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	The use of animals as objects in blood sports cannot be justified by the week argument that it provides benefit through pest control or conservation.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Animals are not percieved as part of the moral community when they are treated as property.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Animals should not be treated as objects or property as doing so allows them to be treated amorally.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	It is not possible to harmlessly have animals as entertainment
1	0	0	The use of animals as objects of sport and entertainment should be banned.	It is not moral to hurt animals for entertainment
1	0	0	Puerto Rico should seek American statehood	English is not a problem for Puerto Rican statehood
0	0	0	Puerto Rico should seek American statehood	Puerto Rican statehood is not economical for the US
0	0	0	Puerto Rico should seek American statehood	Puerto Rican statehood will not benefit the US economically.
0	0	0	Puerto Rico should seek American statehood	Making Puerto Rico a state is not a good economic decision for the US. 
0	0	0	Puerto Rico should seek American statehood	It would be better for the US if Puerto Rico does not become a state. 
0	0	0	There is a good case for stating that there is a God	People think that a benevolent God cannot exist because bad things happen...
0	0	0	The law on self defence should cover ‘grossly disproportionate’ actions	We should not allow state sponsored revenge
0	0	0	Animal testing should be banned.	Animals do not have rights, therefore it is acceptable to experiment on them.
0	0	0	Animal testing should be banned.	Animals don't have rights.
1	0	0	Animal testing should be banned.	Animals shouldn't be put through harmful situations.
1	0	0	Animal testing should be banned.	Drugs that pass animal tests are not necessarily safe.
1	0	0	Animal testing should be banned.	Animal tests do not reliably predict results in human beings.
1	0	0	Animal testing should be banned.	Religious traditions tell us to be merciful to animals, so we should not cause them suffering by experimenting on them.
1	0	0	Animal testing should be banned.	95% of animals used in experiments are not protected by the Animal Welfare Act.
1	0	0	Animal testing should be banned.	animal experiments are not always accurate
0	0	0	Instant Replay Should Be Used in Major League Baseball	video cannot catch all plays at a game
1	0	0	Instant Replay Should Be Used in Major League Baseball	It’s not possible to get every call right, so instant replay is a necessary supplement to umpires’ skill
0	0	0	Instant Replay Should Be Used in Major League Baseball	Tradition demands that this instant replay not be used
0	0	0	Instant Replay Should Be Used in Major League Baseball	Instant replay is not beneficial to the game
0	0	0	Instant Replay Should Be Used in Major League Baseball	Instant replay should not be used during baseball games
0	0	0	Kill One to Save Many	We cannot make any judgments about whose life is valuable and whose is not
0	0	0	Kill One to Save Many	We do not want a society in which killing can be acceptable
0	0	0	It is fine to kill one to save many	We should not will a world where killing is acceptable in to existencele in to existence
0	0	0	It is fine to kill one to save many	We cannot support a world where killing is acceptable as long as it saves lives.
1	0	0	Attorney-client privilege should be abolished	Attorney client privilege need not be sacrosanct in all situations
1	0	0	Companies should provide alternative interview methods	Can't get a realistic impression of a person in such a short space of time.
0	0	0	Sanctions should be used to promote democracy	Sanctions do not harm the right people.
0	0	0	We have to employ mercenaries	PMCs can not be trusted.
1	0	0	We have to employ mercenaries	there are some services that you cannot get without PMC's
0	0	0	Transparency is necessary for security	Putting all your information out there is not safe.
0	0	0	Animals should be kept in zoos	Animal research may be valuable, but it does not need to happen in the context of confinement and human entertainment.
0	0	0	Animals should be kept in zoos	Wild Animals Are Not Domesticated
1	0	0	PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems	INDIVIDUAL HEDONISM NOT ALWAYS POSITIVE FOR SOCIETY/INDIVIDUALS THEMSELVES.
1	0	0	Parents should have the right to do background checks on those looking after their children	Children should not be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries.
1	0	0	Parents should have the right to do background checks on those looking after their children	Children should not be exposed to inappropriate topics like sex, violence, or drug use in school or public libraries.
1	0	0	Parents should have the right to do background checks on those looking after their children	School and public libraries should not expose children to sex, violence, drug use, or other inappropriate topics. 
1	0	0	Privacy Online is Important	Users online would be unprotected from exploitation if it weren't for online privacy.
1	0	0	Encourage fewer people to go to university	Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. 
1	0	0	Encourage fewer people to go to university	The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.
1	0	0	Encourage fewer people to go to university	Many college graduates are employed in jobs that do not require college degrees.
1	0	0	Encourage fewer people to go to university	Many people with college degrees find themselves working in positions in which their degrees are not a requirement. 
1	0	0	Encourage fewer people to go to university	More and more college educated people are accepting jobs for which they do not need a college education. 
1	0	0	Encourage fewer people to go to university	College degrees do not guarantee learning or job preparation.
1	0	0	Encourage fewer people to go to university	Acquiring a degree does not guarantee you a job.
0	0	0	We must enforce term limits on the legislative branch of government	By imposing mandatory term limits on politicians, we are saying the citizens are not capable of making good decisions about their elected officials.
0	0	0	We must enforce term limits on the legislative branch of government	Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their leaders on their own.
0	0	0	We must enforce term limits on the legislative branch of government	By having term limits, it makes voters feel that they can't decide on a leader by themselves
0	0	0	We must enforce term limits on the legislative branch of government	With term limits, voters are not seen as intelligent voters
0	0	0	We must enforce term limits on the legislative branch of government	Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their representatives without guidance:
0	0	0	We must enforce term limits on the legislative branch of government	When some leaders are subject to term limits and some are not, the balance of power in uneven.
0	0	0	We must enforce term limits on the legislative branch of government	With term limits, there is too much power given to those that aren't leaders
0	0	0	We must enforce term limits on the legislative branch of government	In some instances it may be better to not have term limits if there is a good leader at the time
0	0	0	All our actions are determined in some way	This implies falsely that man operates on pure instinct from which he cannot vary, placing him on the level of animals.
0	0	0	We should make new years resolutions	We shouldn't just do something because it is New Year.
0	0	0	People should have a right to private education	Private schools aren't diverse
0	0	0	People should have a right to private education	Private schools don't have unique demographics
0	0	0	People should have a right to private education	Private schools aren't necessarily good for the child.
0	0	0	People should have a right to private education	what is the best for the child is not always the private education
1	0	0	People should have a right to private education	Abolishing a good service on the basis that some cannot afford it is absurd
1	0	0	People should have a right to private education	The goverment can't afford to take on more school children
1	0	0	Abolish the Superdelegate System for Democratic Party Conventions	It is not democratic for some votes to be worth more than others.
1	0	0	Handguns must be banned in Washington D.C.	Individuals Should Not Have the Right to Bear Arms in DC
1	0	0	Handguns must be banned in Washington D.C.	DC is unique and individuals should not have the right to bear arms.
1	0	0	Handguns must be banned in Washington D.C.	Concealed carry application requirements and background checks do not prevent dangerous people from acquiring weapons.
1	0	0	Handguns must be banned in Washington D.C.	Individuals who should not own weapons are not prevented from purchasing them despite the requirements and background investigations of concealed carry applications
1	0	0	Handguns must be banned in Washington D.C.	The conditions for concealed carry permits and background checks do not inhibit criminals from obtaining weapons
1	0	0	Handguns must be banned in Washington D.C.	Public safety should be left to professionally qualified police officers, not private citizens with little or no expert training.
1	0	0	Handguns must be banned in Washington D.C.	Only police officers, who have received professional qualifications, should protect the safety of the public, not private individuals who have not received such training
0	0	0	It is worth voting	My vote does not count
0	0	0	It is worth voting	My vote is not helpful.
0	0	0	It is worth voting	When I vote, I don't feel like the vote I have is important.
0	0	0	It is worth voting	Politicians will not pay any attention to our votes.
0	0	0	It is worth voting	Our votes will not be acknowledged by our representatives.
0	0	0	It is worth voting	Politicians don't care about engaging with me about issues that matter for me.
1	0	0	It is worth voting	We vote not just for ourselves.
1	0	0	It is worth voting	When we vote, its not just for ourselves.
0	0	0	The Internet must be censored	Internet Content must not be Censored because we are a country of free speech!
0	0	0	The Internet must be censored	The Internet is a free domain and cannot becontrolled by the government.
0	0	0	The Internet must be censored	The government has no control over free domain and therefore cannot censor the internet.
1	0	0	Christianity is the greatest deception of today	"Christianity may be a deception but it's not the ""greatest"" one"
0	0	0	Christianity is the greatest deception of today	It isn't christianity that's the deception, organised religion is!
0	0	0	Christianity is the greatest deception of today	Christianity is not a deception!
0	0	0	Christianity is the greatest deception of today	Christianity is not a lie!
0	0	0	Christianity is the greatest deception of today	Christianity is not dishonest!
0	0	0	Democracy Is the Best Form of Government	Electorate is not motivated
0	0	0	Force think tanks to reveal all of their sources of funding	Think tanks should be able to choose not to know who funds them
0	0	0	Force think tanks to reveal all of their sources of funding	Think tanks do not need to know where their funding is from.
0	0	0	Force think tanks to reveal all of their sources of funding	It is not neccesary for think tanks to know who funds them.
0	0	0	Force think tanks to reveal all of their sources of funding	Think tanks should be assessed by the value of their ideas, not by who funds them
1	0	0	Fines should be made relative to income	Creates the perception that the rich are not immune to the consequences of their actions
0	0	0	Fines should be made relative to income	Fines should be according to crime, not income.
0	0	0	The United States is a ‘benign’ hegemon	The US is not a hegemon at all, but an imperialist power-an empire. 
0	0	0	The United States is a ‘benign’ hegemon	In reality, the United States is an empire, not a hegemon.
0	0	0	The full financial history of all candidates for political office must be posted online	The focus of elections should be on policy, not personal issues like financial records
0	0	0	The full financial history of all candidates for political office must be posted online	Financial records are personal, not political, issues.
0	0	0	The full financial history of all candidates for political office must be posted online	Political candidates should focus on policy and not be subjected to scrutinization of their financial records.
1	0	0	Pre-nuptial agreements should not be recognised in divorce courts	The State imposed system is not objectively right for everybody
1	0	0	Pre-nuptial agreements should not be recognised in divorce courts	Prenuptial agreements should not be recognized in divorce courts
1	0	0	Pre-nuptial agreements should not be recognised in divorce courts	Prenuptial agreements are either too lovely or not as lovely as they appear
0	0	0	Violent Video Games Contribute to Youth Violence	Playing violent video games does not cause kids to commit mass shootings.
0	0	0	Smoking should be banned in public places	Smoking is a personal choice, and should not be restricted.
0	0	0	Smoking should be banned in public places	No - it should not be banned in places people CHOOSE to go  
0	0	0	Smoking should be banned in public places	Since people are choosing whether to go to places, smoking shouldn't be banned there,
0	0	0	Smoking should be banned in public places	Smoking shouldn't be banned in places where people choose to be.
0	0	0	Smoking should be banned in public places	Banning smoking isn't necessary.
0	0	0	Smoking should be banned in public places	smoking don't necessarily have to be banned
0	0	0	Smoking should be banned in public places	It isn't necessary to ban smoking.
0	0	0	Smoking should be banned in public places	It's not necessary to ban smoking.
0	0	0	Smoking should be banned in public places	Banning smoking is not something that's necessary.
0	0	0	Smoking should be banned in public places	Banning smoking in public places is not right.
0	0	0	Smoking should be banned in public places	It is not right to ban smoking.
0	0	0	We should abolish speed cameras	Caught on film you can't deny responsibility for your actions.
0	0	0	We should abolish speed cameras	Traffic cams can't be avoided and neither can you avoid responsibility for driving actions.
1	0	0	We should abolish speed cameras	Driving behaviour has not changed since cameras were introduced
1	0	0	We should abolish speed cameras	Traffic cams have not altered driver behaviors.
1	0	0	We should abolish speed cameras	Better car and medical technology has saved lives, not cameras
1	0	0	We should abolish speed cameras	Cameras don't save lives, better car and medical technology do,
1	0	0	We should abolish speed cameras	Improved car and medical technology save lives, cameras do not
1	0	0	We should abolish speed cameras	Cameras are money making, not life saving
1	0	0	We should abolish speed cameras	Speed cameras were meant for monetary gains, not to improve driving.
0	0	0	We must bring back corporal punishment	Corporal punishment isn't a good idea when solving social problems.
0	0	0	Scotland should cede from the union.	Scotland's economy cannot survive if it doesn't have England to lean on.
0	0	0	Scotland should cede from the union.	Scotland would not be able to survive independently without England.
0	0	0	Scotland should cede from the union.	If it should come to it, the Scottish people would not vote for independence.
0	0	0	Scotland should cede from the union.	Scots would not be in favor of voting for independence. 
0	0	0	US must get rid of the double jeopardy rule	Double jeopardy ensures defendants are not brought to trial on weak grounds
0	0	0	US must get rid of the double jeopardy rule	Defendants aren't brought to trial unnecessarily because of double jeopardy.
1	0	0	US must get rid of the double jeopardy rule	Abolishment of double jeopardy would ensure the guilty do not escape punishment
0	0	0	Humans should eat meat	We shouldn't eat as muh meat.
1	0	0	Humans should eat meat	It is not immoral to eat animals.
0	0	0	Gorbachev Was Responsible for The Collapse Of The USSR	The System Needed to Change in Order to Survive in the Longer Term; That Mikhail Gorbachev’s Reforms Failed Showed that the USSR Could Not be Saved
0	0	0	Major league baseball should continue to allow collisions at home plate	collisions and violence should not be in baseball
1	0	0	Major league baseball should continue to allow collisions at home plate	Collisions are not as dangerous as they’re feared to be.  
1	0	0	Major league baseball should continue to allow collisions at home plate	Collisions are not necessarily dangerous.
1	0	0	Major league baseball should continue to allow collisions at home plate	Collisions in MLB aren't all that bad.
0	0	0	Major league baseball should continue to allow collisions at home plate	collisions are not good
1	0	0	Major league baseball should continue to allow collisions at home plate	The catcher or runner would have a ridiculous advantage if collisions were not allowed.
0	0	0	Individuals have a moral obligation to assist people in need	Help should only be provided to those that want it, and individuals should be able to choose if they want to help or not.
1	0	0	History as a subject in school is needed	history repeats itself if not known
1	0	0	History as a subject in school is needed	Teaching history ensures that events of the past are not forgotten, and lessons are learned
0	0	0	Jerusalem should be divided	Unfavorable societal outcomes from division mean that it is not worth it.
0	0	0	Golf is a Sport	Golf involves competition, keeping score, and declaring a winner, but those qualities alone do not make it a sport. 
0	0	0	Golf is a Sport	Golf involves many elements of competition, but that does not make it a sport.
0	0	0	Golf is a Sport	Experts believe golf does not require enough physical fitness to be considered a sport.
0	0	0	Golf is a Sport	If you can compete in a professional tournament with a broken leg, it is not a sport. 
0	0	0	Golf is a Sport	Golf does not have the physical rigors that sports do.
0	0	0	Golf is a Sport	Golf is not physically demanding enough to be a sport.
0	0	0	Golf is a Sport	If you can compete in golf with a handicap, then it is not a sport.
0	0	0	Golf is a Sport	Even people with broken limbs can play golf, which makes it not a real sport.
0	0	0	Golf is a Sport	If an activity does not make you break a sweat, or if it can be done while drinking and smoking, then it is not a sport. 
0	0	0	Golf is a Sport	Because you can play golf without breaking a sweat, and drink and smoke while doing it,  it is not a sport. 
0	0	0	Golf is a Sport	Golf is not a sport because you can play it without breaking a sweat and while you are drunk. 
0	0	0	Golf is a Sport	The fact that golf can be difficult and requires practice and skill to achieve proficiency does not mean it qualifies as a sport. 
0	0	0	Golf is a Sport	That golf can be difficult and skills and practice are required does not qualify it as a sport. 
0	0	0	Golf is a Sport	Skill is required for a person to be proficient in golf doesn't make it a sport. 
0	0	0	Golf is a Sport	The possibility of getting injured while playing golf does not make it a sport. 
0	0	0	Golf is a Sport	the probability of getting injured while playing golf is extremely low therefore it is not a sport.
0	0	0	Golf is a Sport	There should be some risk to be considered a real sport, which golf does not have.
0	0	0	Golf is a Sport	Athleticism does not correlate with performance when it comes to golf. 
0	0	0	Golf is a Sport	Even if you are really athletic does not mean you will do well at golf.
0	0	0	Golf is a Sport	You do not need to be physically fit to be good at golf.
0	0	0	Golf is a Sport	Unlike a sport, golf does not require rigorous physical activity. 
0	0	0	Golf is a Sport	You are not required to endure rigorous physical activity to play golf. 
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	He has not won The Grand Slam, the single greatest, and most difficult, feat in tennis.
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	He has a losing record against Rafael Nadal. How can you be the best of all time if you're not even the best of your own era?
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	Is not even the best in his current generation
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	Was not ranked number one for the most years
1	0	0	 Aboriginal culture must be protected	We cannot understand ourselves if we cannot understand others, so protection of indigenous culture is important.
1	0	0	 Aboriginal culture must be protected	In the past we have oppressed native peoples and we must learn from that so we do not do it again.
0	0	0	 Aboriginal culture must be protected	Government interference is not necessary to preserve culture
1	0	0	Music That Glorifies Crime Should Be Banned	Music depicting violence against women encourages men (and women) not to respect women.
1	0	0	Music That Glorifies Crime Should Be Banned	Music about violence against women  doesn't help the perception of women
0	0	0	Music That Glorifies Crime Should Be Banned	It would not be at all practical to ban music glorifying violence.
0	0	0	Music That Glorifies Crime Should Be Banned	It is not realistic to expect a ban of violent music
0	0	0	Money undermines sport’s values	College sports should be for competition not money.
1	0	0	Wikileaks is not and has never been a non-profit organization	Wikileaks is not registered. 
1	0	0	Wikileaks is not and has never been a non-profit organization	Wikileaks is not accountable 
0	0	0	The expenditure of money should be protected as speech	Money stifles, it does not advance debate. 
1	0	0	Drones Should Be Used to Take Out Enemy Combatants	The US cannot Risk Lagging Behind the Rest of the World in the Development of These Technologies.
1	0	0	Drones Should Be Used to Take Out Enemy Combatants	The United States cannot risk falling behind the rest of the world in the development of drone technologies. 
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes target individuals who may not be terrorists or enemy combatants. 
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes can't reduce the number of terrorists. 
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Not enough legal oversight prevents the accountability resulting from secret drone strikes.
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes mostly kill low-value targets who are not significant threats to US safety and security. 
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes are often not targeting high value targets.
0	0	0	Evolution has Disproved Creationism	Evolution does not explain morals or guidelines to a way of life.
1	0	0	Evolution has Disproved Creationism	Creationism can't explain the fossil record.
0	0	0	Evolution has Disproved Creationism	Much of the complexity of life cannot be explained by evolution, but is perfectly explained by Creationism.
0	0	0	Evolution has Disproved Creationism	Creationism has theoretical answers to questions evolution can't answer.
0	0	0	Evolution has Disproved Creationism	Evolution cannot answer irreducible complexity like Creationism can.
1	0	0	Evolution has Disproved Creationism	Creationism isn't supported by the scientific community.
0	0	0	National service should be re-introduced	The military does not want conscription
0	0	0	National service should be re-introduced	The military feels that conscription is not the right answer. 
0	0	0	National service should be re-introduced	Constriction is not something the military is interested in. 
